id;c_factura_f;c_referencia_f;ejercicio_f;documento_fi_f;zdms_id_f;c_proveedor_f;c_sociedad_f;iva;sum_impo_moneda;sum_impo_impuesto;sum_importe_base;c_moneda_i
1;mobile Fish;Home Loan Account Table Computer;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account;Albania web-readiness;29122;52477;61185;Steel zero administration
2;Multi-channelled Licensed;grey Cambridgeshire;59241;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;Public-key;infomediaries;12203;60999;49517;Games Regional Digitized
3;copy convergence;Mayotte;18485;Facilitator;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating;35675;96525;28093;Faroe Islands Plastic
4;Car Industrial deliverables;orange Books;81546;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;72960;59129;63755;COM
5;embrace Developer;synthesize Idaho compress;49379;Poland;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;75555;20306;22879;Generic neutral Salad
6;Auto Loan Account modular Refined;digital maroon;89255;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;Games;51074;53408;41741;magenta Concrete
7;User-centric Gloves;Mauritania;70301;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;23956;68070;14489;Berkshire Designer
8;Credit Card Account;navigate;23763;transmitter;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;51209;80950;22649;deposit Sausages
9;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;Enhanced deposit parsing;Borders content-based;Tasty Customer Human;pink even-keeled;bus Internal AI;77987;88777;64203;Unbranded Cheese Dynamic
10;Alabama transform;invoice Home Gloves;54873;Cayman Islands Dollar invoice;Fish;Networked;Fish;payment calculating;65761;30806;56830;Sleek turn-key
